Model,Avg Detections,Avg Confidence,Avg Time (ms),FPS,Precision,Recall,F1 Score,mAP@0.5
YOLOv8,0.74,0.479,116.1,8.6,0.571,0.117,0.188,0.143
Faster RCNN,13.45,0.794,962.8,1.0,0.258,0.219,0.208,0.202
SSD300,5.55,0.71,210.7,4.7,0.394,0.166,0.194,0.157
YOLOv8,0.74,0.479,96.8,10.3,0.571,0.117,0.188,0.143
Faster RCNN,13.45,0.794,889.2,1.1,0.258,0.219,0.208,0.202
SSD300,5.55,0.71,191.8,5.2,0.394,0.166,0.194,0.157
